streamerId,install_date,registration_date,gender,streamer_type,followers,coins_earned_all_time,avg_stream_duration,avg_watchers_per_stream,avg_earned_coins_per_stream
633a4bcf94c9c82f2a4a609e,2022-10-03,2022-10-03,female,Individual,210,7,20.07,132.07,0.5
633a95bb08aa4f2581ad3e5b,2022-10-03,2022-10-03,female,Individual,5,0,2,15,0
6338cbf394c9c82f2a49e0d7,2022-10-01,2022-10-01,female,Individual,85,7,8.34,58.19,0.22
626a51bbcbde3aa129fae9ae,2022-04-28,2022-04-28,male,Individual,5,0,1,0.5,0
633751f394c9c82f2a497874,2022-09-30,2022-10-01,male,Individual,10,0,2.33,10,0
633b10ea94c9c82f2a4a8c75,2022-10-03,2022-10-03,iPreferNotToSay,Individual,7,0,1,2.5,0
633645ea38c52fb3346ea712,2022-09-30,2022-09-30,female,Individual,64,516,2.26,12.3,12.28
633aba3c08aa4f2581ad45a3,2022-10-03,2022-10-03,male,Individual,2,0,6.5,18,0
6338846994c9c82f2a49caa7,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,1,1,0
633779f208aa4f2581ac582c,2022-09-30,2022-09-30,male,Individual,226,0,4.33,22.22,0
6268acb8bb5d76261cde95be,2022-04-27,2022-04-27,female,Official,51463,63354,10.17,107.38,52.31
6337a37f08aa4f2581ac6a86,2022-10-01,2022-10-01,female,Individual,116,437,5.06,50.47,25.71
633877af08aa4f2581ac9e6c,2022-10-01,2022-10-01,male,Individual,,0,2.5,24.5,0
63380ea394c9c82f2a49a94e,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,1,2,0
63399aa994c9c82f2a4a251a,2022-10-02,2022-10-02,male,Individual,,0,1,0.5,0
6339fe4008aa4f2581ad10e9,2022-10-02,2022-10-02,iPreferNotToSay,Individual,,0,1,7,0
633a3af908aa4f2581ad25b6,2022-10-03,2022-10-03,female,Individual,327,120,5.84,103.28,2.07
633854b294c9c82f2a49bb95,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,1,0,0
62c5c11cc9632c9620cadb60,2022-07-06,2022-07-06,male,Individual,1,0,1,7,0
633b390908aa4f2581ad651c,2022-10-03,2022-10-03,iPreferNotToSay,Individual,,0,1,3,0
6338670994c9c82f2a49c034,2022-10-01,2022-10-01,male,Individual,,0,3,21,0
632bc1e7fafcf19c9820957f,2022-09-22,2022-09-22,iPreferNotToSay,Individual,2,0,4.19,10.38,0
633aea3508aa4f2581ad5175,2022-10-03,2022-10-03,male,Individual,,0,1,7,0
6336ad3930b4f027e73aee91,2022-09-30,2022-09-30,iPreferNotToSay,Individual,664,826,2.93,30.69,3.49
6336b96b38c52fb3346eb362,2022-09-30,2022-09-30,female,Official,149,881,21.62,82.5,55.06
633795a408aa4f2581ac611b,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,1,7,0
633b63fb08aa4f2581ad749b,2022-10-03,2022-10-03,female,Individual,82,0,14.5,189.5,0
6338148f94c9c82f2a49ab05,2022-10-01,2022-10-01,iPreferNotToSay,Individual,,0,1,1,0
6337917908aa4f2581ac601c,2022-10-01,2022-10-01,male,Individual,,0,11,64,0
633a1c9408aa4f2581ad1bf4,2022-10-02,2022-10-03,female,Official,728,8471,4.51,69.55,78.44
633992d408aa4f2581aceb1f,2022-10-02,2022-10-02,male,Individual,,0,2,17,0
633905bf94c9c82f2a49ef05,2022-10-02,2022-10-02,male,Individual,,0,1,0,0
627c24ebe640bee9f2dd3144,2022-05-11,2022-05-11,female,Individual,166,0,5.78,19.79,0
